author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Метражи group;real_estate_agent;https://ivanteyevka.cian.ru/sale/flat/301563548/;Электрогорск;sale;flat;8;18;2;42.0;6300000;Ивантеевка; Прокудина;2;;Весна
Метражи group;real_estate_agent;https://mytishchi.cian.ru/sale/flat/308572314/;Электрогорск;sale;flat;7;9;2;44.5;8499999;;Олимпийский проспект;21к5;Медведково;
ID 107641596;unknown;https://korolev.cian.ru/sale/flat/299371063/;Электрогорск;sale;flat;4;5;1;30.0;5649000;;Комитетская ;5;Медведково;
ID 31556;realtor;https://dolgoprudny.cian.ru/sale/flat/308781051/;Электрогорск;sale;flat;3;16;1;35.0;7300000;;проспект Пацаева;17;Водники;
ВРЕМЯ РЕШЕНИЙ;real_estate_agent;https://mytishchi.cian.ru/sale/flat/304782166/;Электрогорск;sale;flat;2;10;2;60.7;9800000;; Семашко;37;Медведково;
ID 122089716;homeowner;https://lobnya.cian.ru/sale/flat/307641328/;Электрогорск;sale;flat;6;17;1;40.0;6200000;;Молодежная ;14Б;Лобня;
Простор-недвижимость;real_estate_agent;https://solnechnogorsk.cian.ru/sale/flat/307770490/;Электрогорск;sale;flat;12;17;1;48.4;8000000;д. Голубое;бульвар Парковый;2к4;;Первый Зеленоградский
Светлана Трофимова;realtor;https://ivanteyevka.cian.ru/sale/flat/307493294/;Электрогорск;sale;flat;4;17;1;39.4;5850000;Ивантеевка;Хлебозаводская ;12к3;;Берег Скалбы
Парадайс;real_estate_agent;https://dolgoprudny.cian.ru/sale/flat/308276417/;Электрогорск;sale;flat;2;5;2;44.4;7400000;;Заводская ;9;Водники;
Бест на Речном;real_estate_agent;https://khimki.cian.ru/sale/flat/307654738/;Электрогорск;sale;flat;7;13;1;40.0;7700000;;проспект Мельникова;2б;Молжаниново;
Инна Грязнова;realtor;https://krasnogorsk.cian.ru/sale/flat/308147316/;Электрогорск;sale;flat;11;22;1;40.1;8550000;д. Путилково; Новотушинская;5;;Новое Тушино
Самолет Плюс Мытищи;real_estate_agent;https://fryazino.cian.ru/sale/flat/307565817/;Электрогорск;sale;flat;14;16;2;57.9;7000000;Фрязино; Горького;2;;
