author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/297230401/;Подольск;sale;flat;12;22;1;38.1;6398133;; Садовая;3к1;Силикатная;Арт-квартал Онегин
ID 269655;realtor;https://podolsk.cian.ru/sale/flat/269054565/;Подольск;sale;flat;2;14;1;39.0;5850000;; Академика Доллежаля;22;Подольск;
Астория;real_estate_agent;https://podolsk.cian.ru/sale/flat/307935918/;Подольск;sale;flat;2;5;1;13.8;2700000;; Заводская;14;Подольск;
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/305756702/;Подольск;sale;flat;18;22;1;40.15;6728337;; Садовая;3к1;Силикатная;Арт-квартал Онегин
Андрей Синицын;realtor;https://podolsk.cian.ru/sale/flat/308056790/;Подольск;sale;flat;5;5;2;49.7;6500000;; Циолковского;15;Подольск;
Александр Воронин;realtor;https://podolsk.cian.ru/sale/flat/306839584/;Подольск;sale;flat;12;18;1;40.0;5500000;;Юбилейная ;1к2;Подольск;
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/308009944/;Подольск;sale;flat;3;22;2;56.31;8761836;; Садовая;3к1;Силикатная;Арт-квартал Онегин
CENTURY21 Союз;real_estate_agent;https://podolsk.cian.ru/sale/flat/307152194/;Подольск;sale;flat;3;5;1;31.3;4650000;;Плещеевская ;56;Силикатная;
ГОРОБМЕН;real_estate_agent;https://podolsk.cian.ru/sale/flat/306482793/;Подольск;sale;flat;8;14;1;38.4;6700000;;Тепличная ;12;Силикатная;
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/297230266/;Подольск;sale;flat;8;22;1;43.34;7192273;; Садовая;3к1;Силикатная;Арт-квартал Онегин
ОГРК;real_estate_agent;https://podolsk.cian.ru/sale/flat/305638910/;Подольск;sale;flat;17;17;2;69.0;9650000;;Северная ;9а;Подольск;Северный
В.Ю. Групп.;real_estate_agent;https://podolsk.cian.ru/sale/flat/305912831/;Подольск;sale;flat;3;15;1;39.0;5990000;;Литейная ;18;Подольск;Подольск парк
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/303572786/;Подольск;sale;flat;8;22;1;37.44;6322493;; Садовая;3к1;Силикатная;Арт-квартал Онегин
ФРИДОМ;real_estate_agent;https://podolsk.cian.ru/sale/flat/302552039/;Подольск;sale;flat;9;10;2;52.0;7700000;; Мира;17;Подольск;
САМОЛЕТ ПЛЮС;real_estate_agent;https://podolsk.cian.ru/sale/flat/305289322/;Подольск;sale;flat;17;19;1;36.8;5500000;; Генерала Варенникова;2;Подольск;
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/307413439/;Подольск;sale;flat;7;22;1;45.83;7277804;; Садовая;3к1;Силикатная;Арт-квартал Онегин
Самолет Плюс Москва;real_estate_agent;https://podolsk.cian.ru/sale/flat/308328912/;Подольск;sale;flat;12;17;2;77.4;10500000;;Силикатная ;6/3;Силикатная;
ID 117513562;homeowner;https://podolsk.cian.ru/sale/flat/306662727/;Подольск;sale;flat;5;18;2;55.1;7050000;; 43-й Армии;23;Подольск;Подольские просторы
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/297230232/;Подольск;sale;flat;10;22;2;65.85;10002615;; Садовая;3к1;Силикатная;Арт-квартал Онегин
ID 7296683;realtor;https://podolsk.cian.ru/sale/flat/308168000/;Подольск;sale;flat;3;5;1;33.0;4200000;; Садовая;5;Подольск;
Марина Слизова;realtor;https://podolsk.cian.ru/sale/flat/308375715/;Подольск;sale;flat;2;9;2;40.0;4800000;; Революции;1Б;Подольск;
РАЗВИТИЕ;developer;https://podolsk.cian.ru/sale/flat/297230356/;Подольск;sale;flat;3;22;1;42.04;6731024;; Садовая;3к1;Силикатная;Арт-квартал Онегин
