author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ПАРУСА;real_estate_agent;https://dmitrov.cian.ru/sale/flat/307724641/;Дмитров;sale;flat;9;17;2;59.3;7700000;Дмитров; Космонавтов;54;;
Альтернатива;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305142345/;Дмитров;sale;flat;8;9;1;32.1;4000000;;;;;
Звезда Подмосковья;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305150232/;Дмитров;sale;flat;2;10;1;40.0;6300000;Дмитров;Профессиональная ;26;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/303755781/;Дмитров;sale;flat;3;5;2;42.4;4600000;Дмитров; Космонавтов;2;;
Звезда Подмосковья;real_estate_agent;https://dmitrov.cian.ru/sale/flat/303536798/;Дмитров;sale;flat;15;15;2;55.0;5700000;Дмитров; Архитектора В.В. Белоброва;5;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/307441433/;Дмитров;sale;flat;4;5;1;25.4;3600000;Дмитров;Старо-Московская ;30;;
ID 32116969;unknown;https://dmitrov.cian.ru/sale/flat/301762858/;Дмитров;sale;flat;4;4;2;57.3;9250000;Дмитров;Рогачевская ;41к1;;
Эксперт-Риелт 24;real_estate_agent;https://dmitrov.cian.ru/sale/flat/300222869/;Дмитров;sale;flat;5;12;1;43.5;4999000;;;;;
ID 98722447;unknown;https://dmitrov.cian.ru/sale/flat/307844074/;Дмитров;sale;flat;2;5;2;43.1;4550000;;;;;
Юлия Шведова;realtor;https://dmitrov.cian.ru/sale/flat/299988261/;Дмитров;sale;flat;18;18;1;41.0;3800000;Дмитров; Архитектора В.В. Белоброва;11;;
Градомиръ;real_estate_agent;https://dmitrov.cian.ru/sale/flat/300869953/;Дмитров;sale;flat;9;17;1;33.0;3900000;;;39;Алтуфьево;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/305095096/;Дмитров;sale;flat;9;9;1;32.2;3500000;;;;;
ID 68289693;unknown;https://dmitrov.cian.ru/sale/flat/308806232/;Дмитров;sale;flat;4;9;1;45.0;4600000;Дмитров;Сиреневая ;3;;Внуковская улица
Елена Родина;realtor;https://dmitrov.cian.ru/sale/flat/307004808/;Дмитров;sale;flat;3;5;1;29.0;3200000;;;;;
ID 122235750;homeowner;https://dmitrov.cian.ru/sale/flat/308712685/;Дмитров;sale;flat;8;9;1;36.8;4200000;Дмитров;Большевистский переулок;2А;;
ИНКОМ-Недвижимость;real_estate_agent;https://dmitrov.cian.ru/sale/flat/307661232/;Дмитров;sale;flat;4;5;2;59.7;5500000;;;;;мкр. Внуковский
ID 15062968;real_estate_agent;https://dmitrov.cian.ru/sale/flat/306398716/;Дмитров;sale;flat;1;5;1;30.0;3699000;Дмитров; Космонавтов;10;;
Насими Ахмедов;realtor;https://dmitrov.cian.ru/sale/flat/308402138/;Дмитров;sale;flat;3;9;2;43.0;4800000;Дмитров; Космонавтов;43;;
BROKER-HOME;real_estate_agent;https://dmitrov.cian.ru/sale/flat/306529379/;Дмитров;sale;flat;5;9;1;32.1;4950000;Дмитров;Пушкинская ;90;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308893416/;Дмитров;sale;flat;3;3;1;38.8;3700000;; Спасская;10;Лобня;Новоспасский
ID 15062968;real_estate_agent;https://dmitrov.cian.ru/sale/flat/299383467/;Дмитров;sale;flat;1;2;2;63.2;6300000;Дмитров;Большевистский переулок;1;;
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/304679512/;Дмитров;sale;flat;8;14;1;41.8;6900000;Дмитров;Московская ;8;;
Звезда Подмосковья;real_estate_agent;https://dmitrov.cian.ru/sale/flat/295921356/;Дмитров;sale;flat;3;9;2;54.3;6250000;Дмитров;Шлюзовая ;8к3;;Дмитров Сити
Самолет Плюс Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308237116/;Дмитров;sale;flat;3;4;2;70.7;10000000;Дмитров; Просторная;7;;
Этажи Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/308679425/;Дмитров;sale;flat;5;12;1;39.4;5100000;Дмитров;Московская ;21;;
Андрей Руднев;realtor;https://dmitrov.cian.ru/sale/flat/300865976/;Дмитров;sale;flat;12;19;2;65.2;12250000;Дмитров;Школьная ;10;;на Школьной
Владис Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/303466271/;Дмитров;sale;flat;5;5;2;41.4;4300000;Дмитров; 2-я Центральная;7;;
Самолет Плюс-Дмитров;real_estate_agent;https://dmitrov.cian.ru/sale/flat/306257379/;Дмитров;sale;flat;4;6;2;49.4;5600000;Дмитров; 2-я Центральная;3;;
