author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/308563431/;Клин;sale;flat;8;9;1;32.05;4490000;;;;;Майданово Парк
Доступная Недвижимость. 8 отдел;real_estate_agent;https://klin.cian.ru/sale/flat/308487599/;Клин;sale;flat;3;4;1;30.0;3450000;Клин;Клинская ;50к2;;
ДомКлин;real_estate_agent;https://klin.cian.ru/sale/flat/302282398/;Клин;sale;flat;2;9;1;20.8;2400000;Клин; Мечникова;22;;
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/308563415/;Клин;sale;flat;9;9;2;45.24;6350000;;;;;Майданово Парк
ID 426112;realtor;https://klin.cian.ru/sale/flat/308068455/;Клин;sale;flat;3;5;2;40.5;4600000;Клин; Мира;16;;
Зеленый город;real_estate_agent;https://klin.cian.ru/sale/flat/306658395/;Клин;sale;flat;3;15;1;24.0;3500000;Клин; Чайковского;105к3;;Новый Клин
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/306222899/;Клин;sale;flat;2;9;2;63.13;9000000;Клин; Профсоюзная;21/32;;Олимп
ID 426112;realtor;https://klin.cian.ru/sale/flat/308069738/;Клин;sale;flat;4;5;2;42.6;4700000;Клин; Мира;16;;
Станислав Макеев;realtor;https://klin.cian.ru/sale/flat/307141154/;Клин;sale;flat;3;16;1;30.0;4200000;Клин; Чайковского;105к1;;Новый Клин
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/304481943/;Клин;sale;flat;5;9;1;43.46;6100000;Клин; Профсоюзная;19;;Олимп
ID 103624863;homeowner;https://klin.cian.ru/sale/flat/303482296/;Клин;sale;flat;2;3;2;56.2;4900000;;;;;
Авангард;real_estate_agent;https://klin.cian.ru/sale/flat/287064097/;Клин;sale;flat;2;2;2;41.6;3600000;;;;;
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/306222885/;Клин;sale;flat;7;9;1;32.05;4490000;;;;;Майданово Парк
Максим Сидоров;realtor;https://klin.cian.ru/sale/flat/307871603/;Клин;sale;flat;1;5;1;31.0;4000000;Клин; Чайковского;66к3;;
Ермаков-Недвижимость;real_estate_agent;https://klin.cian.ru/sale/flat/300435837/;Клин;sale;flat;4;4;1;28.5;3150000;Клин; 60 лет Комсомола;14к1;;
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/308563445/;Клин;sale;flat;2;9;1;28.15;3990000;;;;;Майданово Парк
Александра Кряжева;realtor;https://klin.cian.ru/sale/flat/305338665/;Клин;sale;flat;6;9;2;43.3;5000000;;;;;
АРТАМОН - недвижимость;real_estate_agent;https://klin.cian.ru/sale/flat/295191618/;Клин;sale;flat;2;9;1;20.6;2650000;Клин; Мечникова;22;;
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/308634702/;Клин;sale;flat;2;9;2;45.24;6350000;;;;;Майданово Парк
ID 112872787;homeowner;https://klin.cian.ru/sale/flat/299843562/;Клин;sale;flat;2;4;1;36.0;4000000;Клин;Клинская ;52к2;;
Зеленый город;real_estate_agent;https://klin.cian.ru/sale/flat/308760424/;Клин;sale;flat;9;9;2;43.0;5650000;Клин; 50 лет Октября;9;;
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/308563461/;Клин;sale;flat;1;9;2;54.69;9900000;;;;;Майданово Парк
ID 119109708;homeowner;https://klin.cian.ru/sale/flat/308554427/;Клин;sale;flat;1;5;2;56.0;5700000;Клин;Ленинградская ;12к1;;
Анжелика Николаевна Мерзликина;realtor;https://klin.cian.ru/sale/flat/308828442/;Клин;sale;flat;2;9;1;29.0;5000000;;;;;
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/308634705/;Клин;sale;flat;2;9;2;54.69;7400000;;;;;Майданово Парк
ID 118456587;homeowner;https://klin.cian.ru/sale/flat/304010312/;Клин;sale;flat;4;5;2;43.3;5700000;Клин;Бородинский проезд;22;;
Анастасия Карлова;realtor;https://klin.cian.ru/sale/flat/301165345/;Клин;sale;flat;2;5;2;43.0;5000000;Клин; Карла Маркса;12/32;;
ТехноСтройОлимп;developer;https://klin.cian.ru/sale/flat/306222866/;Клин;sale;flat;8;9;2;63.22;6600000;;;;;Майданово Парк
Наталья Вагизова;realtor;https://klin.cian.ru/sale/flat/301490582/;Клин;sale;flat;2;4;2;70.5;9800000;Клин;Театральная ;1/3;;
Самолет Плюс Клин;real_estate_agent;https://klin.cian.ru/sale/flat/305670859/;Клин;sale;flat;1;3;1;42.7;4950000;Клин;Загородная ;34;;
