author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Лобня};sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Лобня};sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Лобня};sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Лобня};sale;flat;2;5;1;65.7;24860880;;;;;Резиденция Дипломат
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Лобня};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ID 123328834;homeowner;https://www.cian.ru/sale/flat/308676848/;Лобня};sale;flat;6;14;1;36.0;13700000;Перово;Мартеновская ;11/12;Новогиреево;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302444728/;Лобня};sale;flat;8;10;1;22.2;26140500;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Лобня};sale;flat;6;42;1;42.0;26000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Лобня};sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540724/;Лобня};sale;flat;2;16;1;37.9;5306000;Прикубанский; Западный обход;65/1;;Cармат
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Лобня};sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Диалог Риэлт;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308678545/;Лобня};sale;flat;4;4;1;31.9;4000000;Октябрьский рп; Комсомольская;11;;
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Лобня};sale;flat;2;13;1;38.3;12928244;;;;;Парковая Резиденция
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Лобня};sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/302924093/;Лобня};sale;flat;3;9;1;29.5;3899000;Кировский; Водников;56;Кремлёвская;
Интеллект;developer;https://krym.cian.ru/sale/flat/306356337/;Лобня};sale;flat;7;20;1;24.84;8609974;;;;;Крымская Резиденция
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Лобня};sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
ID 104795526;real_estate_agent;https://spb.cian.ru/sale/flat/304536515/;Лобня};sale;flat;4;4;1;42.7;5590000;Красносельский;Стрельнинское шоссе;3а;Проспект Ветеранов;
Эталон;developer;https://ekb.cian.ru/sale/flat/308412177/;Лобня};sale;flat;2;5;1;38.08;5498522;;;;;Балтым-Парк
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Лобня};sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
BR Group;real_estate_agent;https://spb.cian.ru/sale/flat/308707071/;Лобня};sale;flat;1;4;1;36.2;7900000;Невский; Бабушкина;47;Елизаровская;
Перспектива;developer;https://krym.cian.ru/sale/flat/305496510/;Лобня};sale;flat;2;8;1;70.3;16000000;Восход пгт; Наташинская;2Ж;;Монако
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Лобня};sale;flat;16;25;1;34.0;9700000;;;7;Ольховая;
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Лобня};sale;flat;5;10;1;40.4;28900000;Дорогомилово;Кутузовский проспект;30;Кутузовская;
СК10;developer;https://rostov.cian.ru/sale/flat/303045403/;Лобня};sale;flat;24;25;1;33.37;4110000;Советский;;;;Малина парк
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Лобня};sale;flat;10;10;1;38.5;11280000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/307262540/;Лобня};sale;flat;9;9;1;34.4;4700000;Приволжский; Рихарда Зорге;105;Дубравная;
РКС Девелопмент;developer;https://krasnodar.cian.ru/sale/flat/308252390/;Лобня};sale;flat;2;7;1;41.7;10491720;;;;;Anapolis Residence
ЕкатеринодарИнвест-Строй;developer;https://krasnodar.cian.ru/sale/flat/294667073/;Лобня};sale;flat;2;24;1;40.58;5264038;мкр. РИП;Российская ;;;Гулливер
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307091345/;Лобня};sale;flat;16;17;1;35.1;16800000;Ярославский;Ярославское шоссе;51;ВДНХ;Я51
ЕкатеринодарИнвест-Строй;developer;https://krasnodar.cian.ru/sale/flat/294670406/;Лобня};sale;flat;2;17;1;35.6;8116800;;;;;Екатерининский парк
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/307494611/;Лобня};sale;flat;2;44;1;48.1;25000000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
СК10;developer;https://rostov.cian.ru/sale/flat/306489613/;Лобня};sale;flat;6;9;1;40.6;5310000;Железнодорожный;;;;Сезоны ЖК
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833375/;Лобня};sale;flat;15;28;1;40.0;30500000;Раменки;Винницкая ;8к3;Раменки;Настоящее
СК10;developer;https://rostov.cian.ru/sale/flat/289504809/;Лобня};sale;flat;24;25;1;30.41;4390000;Октябрьский;;;;Гринсайд ЖК
