author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/306899926/;Химки};sale;flat;14;23;1;34.0;4893000;Кировский;;;Машиностроителей;Основинские кварталы ЖК
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679592/;Химки};sale;flat;7;20;1;43.09;20252300;Даниловский;Автозаводская ;26;Тульская;FORST
ЛЮДИ ДЛЯ ЛЮДЕЙ;real_estate_agent;https://spb.cian.ru/sale/flat/305602913/;Химки};sale;flat;4;7;1;31.1;6000000;Калининский;проспект Науки;40;Академическая;
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/302623378/;Химки};sale;flat;2;29;1;34.6;8557000;Центр; Свердлова;12;Динамо;Екатерининский парк
Павел Михайлов;realtor;https://www.cian.ru/sale/flat/308082096/;Химки};sale;flat;12;16;1;44.0;26296000;Раменки;проспект Генерала Дорохова;39к2Л;Минская;Собрание клубных домов West Garden
Динас;real_estate_agent;https://spb.cian.ru/sale/flat/305885696/;Химки};sale;flat;6;11;1;35.0;6990000;Василеостровский;Морская набережная;9;Приморская;
СК10;developer;https://rostov.cian.ru/sale/flat/306489613/;Химки};sale;flat;6;9;1;40.6;5310000;Железнодорожный;;;;Сезоны ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307091345/;Химки};sale;flat;16;17;1;35.1;16800000;Ярославский;Ярославское шоссе;51;ВДНХ;Я51
ID 10741260;unknown;https://samara.cian.ru/sale/flat/308774838/;Химки};sale;flat;6;9;1;35.0;4200000;Промышленный; Стара-Загора;147;Безымянка;
СК10;developer;https://rostov.cian.ru/sale/flat/289504809/;Химки};sale;flat;24;25;1;30.41;4390000;Октябрьский;;;;Гринсайд ЖК
Владислав Карпов;realtor;https://www.cian.ru/sale/flat/308833375/;Химки};sale;flat;15;28;1;40.0;30500000;Раменки;Винницкая ;8к3;Раменки;Настоящее
