author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938661/;Одинцово;sale;flat;9;24;2;48.24;12313501;;;;Одинцово;Одинбург
ID 82171081;realtor;https://odintsovo.cian.ru/sale/flat/308160773/;Одинцово;sale;flat;19;25;2;62.56;12000000;;;6;Одинцово;Одинград квартал Семейный ЖК
Ваши Соседи Торги;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308064557/;Одинцово;sale;flat;10;20;1;37.1;5850000;; Кутузовская;3;Сколково;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/308938596/;Одинцово;sale;flat;2;24;1;36.3;9822236;;;;Одинцово;Одинбург
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://odintsovo.cian.ru/sale/flat/304858155/;Одинцово;sale;flat;10;24;1;39.0;7200000;;Северная ;5к2;Одинцово;Одинбург
CENTURY 21 Столичная недвижимость;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308783096/;Одинцово;sale;flat;17;24;1;44.7;7400000;; Чистяковой;;Сколково;
Вектор;developer;https://odintsovo.cian.ru/sale/flat/305609500/;Одинцово;sale;flat;4;19;2;55.0;11570000;;;;Одинцово;Союзный ЖК
ХОРЕКА ИНВЕСТ;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308253115/;Одинцово;sale;flat;3;17;1;22.58;5120918;; Чистяковой;8с2;Сколково;Гостиничный комплекс Аметист
Ринат Нурис;realtor;https://odintsovo.cian.ru/sale/flat/303807097/;Одинцово;sale;flat;2;12;2;36.0;6390000;;Сосновая ;20;Одинцово;
Вектор;developer;https://odintsovo.cian.ru/sale/flat/305609586/;Одинцово;sale;flat;2;19;1;40.0;8610000;;;;Одинцово;Союзный ЖК
Homeapp;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308305656/;Одинцово;sale;flat;14;25;2;49.8;10990000;; Каштановая;6;Внуково;Одинцово-1
МИР СН;real_estate_agent;https://odintsovo.cian.ru/sale/flat/303472026/;Одинцово;sale;flat;4;4;1;35.0;5000000;;Молодежная ;1Б;Одинцово;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/301311054/;Одинцово;sale;flat;2;20;1;46.99;;;;;Одинцово;Одинбург ЖК
Vysotsky Estate;real_estate_agent;https://odintsovo.cian.ru/sale/flat/307935683/;Одинцово;sale;flat;4;25;2;58.2;11700000;; Маршала Бирюзова;2а;Одинцово;Микрорайон Центральный
Миэль офис в Одинцово;real_estate_agent;https://odintsovo.cian.ru/sale/flat/307392702/;Одинцово;sale;flat;4;21;1;47.0;8300000;;Сосновая ;10;Одинцово;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/305802824/;Одинцово;sale;flat;7;24;2;56.33;;;;;Одинцово;Одинбург
ОГРК;real_estate_agent;https://odintsovo.cian.ru/sale/flat/306552720/;Одинцово;sale;flat;8;15;1;43.0;7000000;; Гвардейская;11;Одинцово;Гусарская баллада
Татьяна Ростова;realtor;https://odintsovo.cian.ru/sale/flat/303136193/;Одинцово;sale;flat;5;9;1;31.0;6500000;;Можайское шоссе;24;Одинцово;
AFI Development;developer;https://odintsovo.cian.ru/sale/flat/293937956/;Одинцово;sale;flat;18;20;2;81.48;;;;;Одинцово;Одинбург ЖК
Этажи Москва;real_estate_agent;https://odintsovo.cian.ru/sale/flat/308418190/;Одинцово;sale;flat;6;20;2;48.7;9300000;;Северная ;15;Одинцово;Одинбург
ID 123354674;homeowner;https://odintsovo.cian.ru/sale/flat/308812802/;Одинцово;sale;flat;17;24;1;44.1;8000000;; Чистяковой;16;Сколково;
АльфаСтройИнвест;developer;https://odintsovo.cian.ru/sale/flat/304990147/;Одинцово;sale;flat;17;17;2;35.48;7184700;;;;Мичуринец;Каштановая Роща ЖК
АЯКС;real_estate_agent;https://odintsovo.cian.ru/sale/flat/296021832/;Одинцово;sale;flat;14;25;1;42.4;8300000;; Сколковская;9Б;Сколково;Сколковский
