author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Мытищи};sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Мытищи};sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Мытищи};sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Мытищи};sale;flat;2;5;1;65.7;24860880;;;;;Резиденция Дипломат
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Мытищи};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ID 123328834;homeowner;https://www.cian.ru/sale/flat/308676848/;Мытищи};sale;flat;6;14;1;36.0;13700000;Перово;Мартеновская ;11/12;Новогиреево;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302444728/;Мытищи};sale;flat;8;10;1;22.2;26140500;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Мытищи};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Мытищи};sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540724/;Мытищи};sale;flat;2;16;1;37.9;5306000;Прикубанский; Западный обход;65/1;;Cармат
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Мытищи};sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Диалог Риэлт;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308678545/;Мытищи};sale;flat;4;4;1;31.9;4000000;Октябрьский рп; Комсомольская;11;;
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Мытищи};sale;flat;2;13;1;38.3;12928244;;;;;Парковая Резиденция
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Мытищи};sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/302924093/;Мытищи};sale;flat;3;9;1;29.5;3899000;Кировский; Водников;56;Кремлёвская;
Интеллект;developer;https://krym.cian.ru/sale/flat/306356337/;Мытищи};sale;flat;7;20;1;24.84;8609974;;;;;Крымская Резиденция
Contact Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303027445/;Мытищи};sale;flat;3;20;1;59.0;61800000;Пресненский; Костикова;4к6;Улица 1905 года;Lucky
ID 104795526;real_estate_agent;https://spb.cian.ru/sale/flat/304536515/;Мытищи};sale;flat;4;4;1;42.7;5590000;Красносельский;Стрельнинское шоссе;3а;Проспект Ветеранов;
Эталон;developer;https://ekb.cian.ru/sale/flat/308412177/;Мытищи};sale;flat;2;5;1;38.08;5498522;;;;;Балтым-Парк
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Мытищи};sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
BR Group;real_estate_agent;https://spb.cian.ru/sale/flat/308707071/;Мытищи};sale;flat;1;4;1;36.2;7900000;Невский; Бабушкина;47;Елизаровская;
Перспектива;developer;https://krym.cian.ru/sale/flat/305496510/;Мытищи};sale;flat;2;8;1;70.3;16000000;Восход пгт; Наташинская;2Ж;;Монако
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/303534103/;Мытищи};sale;flat;16;25;1;34.0;9700000;;;7;Ольховая;
ID 17498307;homeowner;https://www.cian.ru/sale/flat/308837547/;Мытищи};sale;flat;5;10;1;40.4;28900000;Дорогомилово;Кутузовский проспект;30;Кутузовская;
СК10;developer;https://rostov.cian.ru/sale/flat/303045403/;Мытищи};sale;flat;24;25;1;33.37;4110000;Советский;;;;Малина парк
ID 148596;homeowner;https://www.cian.ru/sale/flat/268629674/;Мытищи};sale;flat;10;10;1;38.5;11280000;Выхино-Жулебино;Жулебинский бульвар;6/11;Лермонтовский проспект;
Альтера;real_estate_agent;https://kazan.cian.ru/sale/flat/307262540/;Мытищи};sale;flat;9;9;1;34.4;4700000;Приволжский; Рихарда Зорге;105;Дубравная;
РКС Девелопмент;developer;https://krasnodar.cian.ru/sale/flat/308252390/;Мытищи};sale;flat;2;7;1;41.7;10491720;;;;;Anapolis Residence
Средастрой Новороссийск;developer;https://novorossiysk.cian.ru/sale/flat/307130635/;Мытищи};sale;flat;6;17;1;42.93;8800650;;;;;Золотой берег 2
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/307986637/;Мытищи};sale;flat;11;14;1;35.0;13900000;Раменки;1-й Сетуньский проезд;10;Кутузовская;
ПАРК АВЕНЮ;developer;https://krasnodar.cian.ru/sale/flat/307199106/;Мытищи};sale;flat;3;6;1;33.4;4575800;Горячий Ключ; Ярославского;100В;;Ярославский
НЕДВИЖИМОСТЬ 23;real_estate_agent;https://sochi.cian.ru/sale/flat/301916019/;Мытищи};sale;flat;3;5;1;40.6;23900000;Центральный; Крымская;;;Livingston
ЭНКО;developer;https://tyumen.cian.ru/sale/flat/306667447/;Мытищи};sale;flat;3;17;1;36.4;5470000;д. Патрушева; Лермонтова;8;;ЖР 
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301042658/;Мытищи};sale;flat;24;79;1;72.0;70000000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Эталон;developer;https://ekb.cian.ru/sale/flat/308413983/;Мытищи};sale;flat;3;16;1;35.8;5634818;Чкаловский;;;Ботаническая;Жилой район Солнечный
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307435494/;Мытищи};sale;flat;6;17;1;43.4;19100000;Даниловский;набережная Марка Шагала;15к1;Технопарк;Shagal
R1 Development;developer;https://ekb.cian.ru/sale/flat/303900221/;Мытищи};sale;flat;2;8;1;42.64;7763465;Орджоникидзевский; Уральских Рабочих;26;Проспект Космонавтов;Банников Дом
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297952059/;Мытищи};sale;flat;18;22;1;43.0;19200000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/307111842/;Мытищи};sale;flat;4;19;1;31.8;8840400;Советский;;3;Горки;Светлая Долина ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/297558153/;Мытищи};sale;flat;18;22;1;43.0;19500000;Щукино;Большой Волоколамский проезд;23;Стрешнево;Комплекс апартаментов B’aires
TEN девелопмент;developer;https://ekb.cian.ru/sale/flat/304437884/;Мытищи};sale;flat;18;19;1;30.8;5380200;Верх-Исетский;;;Площадь 1905 года;Русь-2 ЖК
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308179200/;Мытищи};sale;flat;3;6;1;47.3;18120000;Адлерский;Веселая ;82/1Б;;Green Sail Park
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/299893563/;Мытищи};sale;flat;3;9;1;39.02;17986269;Массандра пгт; Мухина;17А;;Клубный дом Массандра Парк
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/308421883/;Мытищи};sale;flat;9;20;1;39.74;16802072;Даниловский;Автозаводская ;26;Тульская;FORST
Ак Барс Дом;developer;https://kazan.cian.ru/sale/flat/303547548/;Мытищи};sale;flat;2;17;1;35.78;8766100;Советский;ПК1-2;ПК1-2;Горки;Мой Ритм ЖК
Недвижимость у моря;real_estate_agent;https://sochi.cian.ru/sale/flat/308159418/;Мытищи};sale;flat;3;6;1;52.0;20360000;Адлерский;Веселая ;82/1Б;;Green Sail Park
AVA;developer;https://krasnodar.cian.ru/sale/flat/303889085/;Мытищи};sale;flat;2;12;1;41.6;6647680;мкр. 9-й километр; Ярославская;115к2;;Небо
Этажи Москва;real_estate_agent;https://balashikha.cian.ru/sale/flat/307869945/;Мытищи};sale;flat;19;25;1;36.3;5300000;; Яганова;9;Щёлковская;Пехра
AVA;developer;https://krasnodar.cian.ru/sale/flat/302609050/;Мытищи};sale;flat;2;22;1;49.7;9825690;мкр. Аврора; Имени Дзержинского;95;;AVrorA
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/303023571/;Мытищи};sale;flat;4;5;1;30.3;3899000;;шоссе Энтузиастов;57;Салтыковская;
НВМ;representative_developer;https://krasnodar.cian.ru/sale/flat/308001539/;Мытищи};sale;flat;5;7;1;42.7;5978000;;;;;История 2
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/306785132/;Мытищи};sale;flat;3;20;1;47.3;6499999;; Чистопольская;28;Щёлковская;Эдельвейс-Комфорт
Первостроитель;developer;https://ekb.cian.ru/sale/flat/297114709/;Мытищи};sale;flat;2;24;1;31.3;7936000;Кировский; Мира;47/7;Геологическая;Проспект Мира. Компаунд
Иван Музалевский;realtor;https://balashikha.cian.ru/sale/flat/301875482/;Мытищи};sale;flat;7;16;1;42.3;7250000;; Юбилейная;4к5;Железнодорожная;
Светлый;developer;https://krym.cian.ru/sale/flat/308441444/;Мытищи};sale;flat;3;3;1;40.9;7362000;Саки; Заводская;62;;Новый берег
ТСН Владис;real_estate_agent;https://balashikha.cian.ru/sale/flat/304384217/;Мытищи};sale;flat;14;17;1;45.3;7349000;; Твардовского;26;Кучино;
Северная Компания;developer;https://ryazan.cian.ru/sale/flat/303065626/;Мытищи};sale;flat;2;16;1;26.7;3650200;Московский;;;;Бирюзова Парк ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/308605254/;Мытищи};sale;flat;13;41;1;43.0;23900000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Sea Invest;representative_developer;https://krym.cian.ru/sale/flat/305502980/;Мытищи};sale;flat;7;8;1;38.68;11039510;;;;;Долина Роз
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Мытищи};sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
Альянс;developer;https://rostov.cian.ru/sale/flat/292933861/;Мытищи};sale;flat;4;7;1;48.74;23395200;Кировский;Социалистическая ;118;;Дом-резиденция Собрание
Этажи Москва;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/306414696/;Мытищи};sale;flat;6;9;1;42.2;8670000;; Алексеевская;3;Аникеевка;Опалиха Парк
ФСК;developer;https://kazan.cian.ru/sale/flat/307682268/;Мытищи};sale;flat;5;7;1;26.4;3982757;;;;;ФоРест
