author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Таврида Девелопмент;developer;https://krym.cian.ru/sale/flat/304428700/;Люберцы};sale;flat;2;20;1;25.04;10141200;;;;;Новая Ливадия
ID 12530791;unknown;https://www.cian.ru/sale/flat/303761506/;Люберцы};sale;flat;38;78;1;58.0;58500000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/308789447/;Люберцы};sale;flat;11;12;1;33.5;8000000;Чертаново Южное;3-й Дорожный проезд;6К1;Улица Академика Янгеля;
Дипломат;developer;https://krym.cian.ru/sale/flat/292124957/;Люберцы};sale;flat;2;5;1;65.7;24860880;;;;;Резиденция Дипломат
ID 85604823;unknown;https://www.cian.ru/sale/flat/305768574/;Люберцы};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
ID 123328834;homeowner;https://www.cian.ru/sale/flat/308676848/;Люберцы};sale;flat;6;14;1;36.0;13700000;Перово;Мартеновская ;11/12;Новогиреево;
Неометрия;developer;https://sochi.cian.ru/sale/flat/302444728/;Люберцы};sale;flat;8;10;1;22.2;26140500;Адлерский;Адлер жилрайон;;;Гостиничный комплекс 
ID 85604823;unknown;https://www.cian.ru/sale/flat/307014462/;Люберцы};sale;flat;6;42;1;42.0;29000000;Хорошево-Мневники;Шелепихинская набережная;34к5;Шелепиха;Сердце Столицы
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/308711044/;Люберцы};sale;flat;8;22;1;40.0;13290000;Марьино; Верхние Поля;36К2;Люблино;
Сармат;developer;https://krasnodar.cian.ru/sale/flat/307540724/;Люберцы};sale;flat;2;16;1;37.9;5306000;Прикубанский; Западный обход;65/1;;Cармат
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/299890518/;Люберцы};sale;flat;9;40;1;41.5;32000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
Диалог Риэлт;real_estate_agent;https://lyubertsy.cian.ru/sale/flat/308678545/;Люберцы};sale;flat;4;4;1;31.9;4000000;Октябрьский рп; Комсомольская;11;;
Интеллект;developer;https://krym.cian.ru/sale/flat/295983885/;Люберцы};sale;flat;2;13;1;38.3;12928244;;;;;Парковая Резиденция
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/301550653/;Люберцы};sale;flat;13;41;1;41.5;31000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
