author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
НПО Машиностроения;developer;https://reutov.cian.ru/sale/flat/304520155/;Реутов;sale;flat;2;20;2;67.15;13446425;;проспект Мира;22;Реутов;Самоцветы мира
Этажи Москва;real_estate_agent;https://reutov.cian.ru/sale/flat/304751345/;Реутов;sale;flat;15;25;1;45.0;10500000;;Садовый проезд;9;Реутов;Рациональ
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/308796494/;Реутов;sale;flat;4;14;2;46.1;9700000;;Юбилейный проспект;44;Новокосино;
НПО Машиностроения;developer;https://reutov.cian.ru/sale/flat/304520159/;Реутов;sale;flat;4;20;1;38.35;8487000;;проспект Мира;22;Реутов;Самоцветы мира
Дина Хабирова;realtor;https://reutov.cian.ru/sale/flat/308293356/;Реутов;sale;flat;16;25;1;40.0;10500000;;Носовихинское шоссе;43;Новокосино;Новокосино-2
I AM ESTATE;real_estate_agent;https://reutov.cian.ru/sale/flat/308689613/;Реутов;sale;flat;1;9;1;34.5;7000000;;Носовихинское шоссе;15;Новокосино;
НПО Машиностроения;developer;https://reutov.cian.ru/sale/flat/304520154/;Реутов;sale;flat;14;20;1;38.85;8597000;;проспект Мира;22;Реутов;Самоцветы мира
Этажи Москва;real_estate_agent;https://reutov.cian.ru/sale/flat/308767607/;Реутов;sale;flat;3;9;2;42.9;8100000;; Победы;17;Реутов;
Наталья Бражникова;realtor;https://reutov.cian.ru/sale/flat/302429738/;Реутов;sale;flat;5;9;1;29.2;7500000;;Новая ;14к3;Реутов;
НПО Машиностроения;developer;https://reutov.cian.ru/sale/flat/304520161/;Реутов;sale;flat;4;20;1;40.45;8949000;;проспект Мира;22;Реутов;Самоцветы мира
Этажи Москва;real_estate_agent;https://reutov.cian.ru/sale/flat/308063294/;Реутов;sale;flat;17;25;1;45.5;9800000;;проспект Мира;12к1;Реутов;Гагарина 23А
Жилстройсервис;real_estate_agent;https://reutov.cian.ru/sale/flat/305693784/;Реутов;sale;flat;1;9;1;32.0;6950000;;Юбилейный проспект;13;Реутов;
НПО Машиностроения;developer;https://reutov.cian.ru/sale/flat/304520152/;Реутов;sale;flat;10;20;1;40.5;8960000;;проспект Мира;22;Реутов;Самоцветы мира
HOUSE MALL - Городская недвижимость;real_estate_agent;https://reutov.cian.ru/sale/flat/293175428/;Реутов;sale;flat;17;29;2;50.0;13450000;; Реутовских ополченцев;14;Реутов;Мкр. 6А
ID 16483;realtor;https://reutov.cian.ru/sale/flat/308115373/;Реутов;sale;flat;15;16;1;36.3;8500000;;Юбилейный проспект;8;Новокосино;
DOGMA;developer;https://reutov.cian.ru/sale/flat/294665132/;Реутов;sale;flat;20;25;2;65.35;13984400;;;к4;Новокосино;Эво ЖК
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/304597099/;Реутов;sale;flat;6;9;1;21.1;5500000;; Победы;30;Реутов;
Виктор Петров;realtor;https://reutov.cian.ru/sale/flat/299645246/;Реутов;sale;flat;4;5;2;45.3;6190000;;проспект Мира;55;Реутов;
DOGMA;developer;https://reutov.cian.ru/sale/flat/293617426/;Реутов;sale;flat;8;25;2;61.33;12875900;;;к2;Новокосино;Эво ЖК
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/304641101/;Реутов;sale;flat;6;24;2;42.3;9750000;; Гагарина;40;Реутов;Мкр. 4
Роман Пятин;realtor;https://reutov.cian.ru/sale/flat/308485739/;Реутов;sale;flat;8;17;1;37.8;8000000;;Молодежная ;2;Реутов;
DOGMA;developer;https://reutov.cian.ru/sale/flat/293617077/;Реутов;sale;flat;24;25;1;38.55;9806350;;;к2;Новокосино;Эво ЖК
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/298867178/;Реутов;sale;flat;3;9;2;37.9;6950000;;Комсомольская ;5а;Реутов;
ID 196566;homeowner;https://reutov.cian.ru/sale/flat/305950823/;Реутов;sale;flat;8;9;1;35.8;8000000;;Молодежная ;5;Реутов;
DOGMA;developer;https://reutov.cian.ru/sale/flat/308029798/;Реутов;sale;flat;9;25;1;39.52;9524320;;;;Новокосино;EVO
Ордер;real_estate_agent;https://reutov.cian.ru/sale/flat/300404047/;Реутов;sale;flat;10;20;1;46.0;8450000;;проспект Мира;22;Реутов;Самоцветы мира
ID 575339;realtor;https://reutov.cian.ru/sale/flat/293893714/;Реутов;sale;flat;7;26;1;30.1;9500000;; Имени Академика В.Н. Челомея;11;Новокосино;Новокосино-2
DOGMA;developer;https://reutov.cian.ru/sale/flat/301003612/;Реутов;sale;flat;24;25;2;66.79;14243400;;;к4;Новокосино;Эво ЖК
