author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
МОИС;real_estate_agent;https://bronnicy.cian.ru/sale/flat/306273461/;Бронницы;sale;flat;1;1;1;18.5;1500000;Бронницы;Красноармейская ;16;;
Людмила Минкина;realtor;https://bronnicy.cian.ru/sale/flat/308235516/;Бронницы;sale;flat;3;5;1;31.0;3550000;Бронницы; Пущина;28;;
ID 121708470;homeowner;https://bronnicy.cian.ru/sale/flat/307277610/;Бронницы;sale;flat;1;1;1;42.0;2400000;Бронницы;Советская ;32;;
Ольга Боженик;realtor;https://bronnicy.cian.ru/sale/flat/306604595/;Бронницы;sale;flat;3;5;2;46.0;4700000;Бронницы;Советская ;138А;;
ИнСити;real_estate_agent;https://bronnicy.cian.ru/sale/flat/303226953/;Бронницы;sale;flat;4;12;2;40.0;5950000;Бронницы;Зеленый проезд;1а;;
ID 28979;realtor;https://bronnicy.cian.ru/sale/flat/304741615/;Бронницы;sale;flat;3;5;1;33.0;3950000;Бронницы;Москворецкая ;40;;
Ольга Сергеева;realtor;https://bronnicy.cian.ru/sale/flat/307783377/;Бронницы;sale;flat;4;5;2;52.6;4500000;Бронницы;Садовый проезд;3;;
Татьяна Полянина;realtor;https://bronnicy.cian.ru/sale/flat/308110502/;Бронницы;sale;flat;3;5;1;34.0;4200000;Бронницы;Советская ;138А;;
Яищу;real_estate_agent;https://bronnicy.cian.ru/sale/flat/304350342/;Бронницы;sale;flat;8;8;1;54.7;6850000;Бронницы;Марьинский переулок;1;;Пушкинский
УЮТ;real_estate_agent;https://bronnicy.cian.ru/sale/flat/284894517/;Бронницы;sale;flat;1;5;2;43.3;4400000;Бронницы; Пущина;6;;
Лариса Голубева;realtor;https://bronnicy.cian.ru/sale/flat/308159194/;Бронницы;sale;flat;1;5;2;44.3;5950000;Бронницы;Советская ;117;;
ID 47664046;unknown;https://bronnicy.cian.ru/sale/flat/297711311/;Бронницы;sale;flat;1;1;1;24.3;3100000;Бронницы;Кожурновская ;88;;
ИнСити;real_estate_agent;https://bronnicy.cian.ru/sale/flat/308682444/;Бронницы;sale;flat;4;5;2;51.0;6200000;Бронницы;Московская ;94;;
Ваш Ключ;real_estate_agent;https://bronnicy.cian.ru/sale/flat/300585510/;Бронницы;sale;flat;3;6;2;40.3;5700000;Бронницы;Садовый проезд;1Б;;
Владис Новый Город;real_estate_agent;https://bronnicy.cian.ru/sale/flat/293990012/;Бронницы;sale;flat;5;5;1;33.2;4150000;Бронницы; Льва Толстого;11а;;
Роман Сбродов;realtor;https://bronnicy.cian.ru/sale/flat/303059907/;Бронницы;sale;flat;1;5;1;40.8;6200000;Бронницы;Комсомольский переулок;59;;
Сергей Павлович Романовский;realtor;https://bronnicy.cian.ru/sale/flat/308107839/;Бронницы;sale;flat;4;5;1;35.0;4500000;Бронницы;Советская ;145;;
Анастасия Светлая;realtor;https://bronnicy.cian.ru/sale/flat/301642154/;Бронницы;sale;flat;1;1;2;36.6;3350000;Бронницы; 8 Марта;2;;
Наталья Тусаева;realtor;https://bronnicy.cian.ru/sale/flat/305823486/;Бронницы;sale;flat;4;5;1;36.8;4990000;Бронницы; Льва Толстого;2а;;
Людмила Минкина;realtor;https://bronnicy.cian.ru/sale/flat/308235805/;Бронницы;sale;flat;1;5;2;41.0;4950000;Бронницы;Советская ;117;;
ID 72479387;realtor;https://bronnicy.cian.ru/sale/flat/302029084/;Бронницы;sale;flat;2;5;2;43.9;4400000;Бронницы;переулок Маяковский;7;;
Владис Новый Город;real_estate_agent;https://bronnicy.cian.ru/sale/flat/306109351/;Бронницы;sale;flat;5;5;2;47.0;5540000;Бронницы;Москворецкая ;19;;
ЦЕНТР НЕДВИЖИМОСТИ;real_estate_agent;https://bronnicy.cian.ru/sale/flat/301302036/;Бронницы;sale;flat;5;6;2;54.0;6345000;Бронницы;Садовый проезд;1Б;;
АвиаН-Недвижимость;real_estate_agent;https://bronnicy.cian.ru/sale/flat/307954350/;Бронницы;sale;flat;4;5;2;53.5;5400000;Бронницы;Москворецкая ;42;;
ИнСити;real_estate_agent;https://bronnicy.cian.ru/sale/flat/301959772/;Бронницы;sale;flat;1;5;2;44.0;5950000;Бронницы;переулок Маяковский;7;;
Maitre Rochet - Сто ключей на Менделеева;real_estate_agent;https://bronnicy.cian.ru/sale/flat/298721922/;Бронницы;sale;flat;4;5;2;43.7;4400000;;Строительная ;9;Выхино;
ID 115742299;homeowner;https://bronnicy.cian.ru/sale/flat/307770262/;Бронницы;sale;flat;5;5;1;30.0;3700000;Бронницы;Пушкинская ;1;;
ID 63989286;real_estate_agent;https://bronnicy.cian.ru/sale/flat/304879391/;Бронницы;sale;flat;4;5;2;54.4;4800000;Бронницы;Первомайский переулок;2;;
УЮТ;real_estate_agent;https://bronnicy.cian.ru/sale/flat/288700800/;Бронницы;sale;flat;6;6;2;56.2;6800000;Бронницы;Пионерский переулок;5;;Пионерский 5
АвиаН-Недвижимость;real_estate_agent;https://bronnicy.cian.ru/sale/flat/307341598/;Бронницы;sale;flat;1;5;2;49.6;5100000;Бронницы;Садовый проезд;2;;
Удачный выбор;real_estate_agent;https://bronnicy.cian.ru/sale/flat/299727977/;Бронницы;sale;flat;3;6;1;41.7;6600000;Южный-1 мкр; Соловьиная Роща;1;;Южный-1
Поиск Юг;real_estate_agent;https://bronnicy.cian.ru/sale/flat/308144270/;Бронницы;sale;flat;3;6;2;53.0;8100000;Бронницы;Московская ;96;;
Елена Сычева;realtor;https://bronnicy.cian.ru/sale/flat/307750855/;Бронницы;sale;flat;5;5;1;35.5;4900000;Бронницы;Пушкинская ;2;;
ЕГСН Продажа;real_estate_agent;https://bronnicy.cian.ru/sale/flat/306028457/;Бронницы;sale;flat;5;5;1;34.0;4000000;;;;;
Этажи Воскресенск-Раменское;real_estate_agent;https://bronnicy.cian.ru/sale/flat/308360622/;Бронницы;sale;flat;2;5;2;50.1;7200000;Бронницы; Льва Толстого;17;;
ID 242237;homeowner;https://bronnicy.cian.ru/sale/flat/308500646/;Бронницы;sale;flat;4;5;1;35.6;5500000;Южный-1 мкр; Соловьиная Роща;3;;Южный-1
Самолет Плюс Воскресенск;real_estate_agent;https://bronnicy.cian.ru/sale/flat/294664021/;Бронницы;sale;flat;2;5;2;46.8;6200000;Бронницы;Москворецкая ;40;;
ID 98947260;unknown;https://bronnicy.cian.ru/sale/flat/291041648/;Бронницы;sale;flat;3;5;2;61.8;7850000;Бронницы;Комсомольский переулок;65;;
ID 13080493;homeowner;https://bronnicy.cian.ru/sale/flat/284656763/;Бронницы;sale;flat;3;5;1;31.9;4260000;Бронницы;Садовый проезд;1Б;;
Владис Новый Город;real_estate_agent;https://bronnicy.cian.ru/sale/flat/294567782/;Бронницы;sale;flat;2;5;2;53.3;5900000;Бронницы;Садовый проезд;5;;
МОЯ СТОЛИЦА;real_estate_agent;https://bronnicy.cian.ru/sale/flat/301697018/;Бронницы;sale;flat;4;5;2;47.8;6500000;Бронницы;Советская ;113;;
