author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Садовое кольцо;developer;https://krasnogorsk.cian.ru/sale/flat/304049923/;Красногорск;sale;flat;21;25;2;65.82;18193569;;;к5;Павшино;М 5 ЖК
Этажи Москва;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/306414696/;Красногорск;sale;flat;6;9;1;42.2;8670000;; Алексеевская;3;Аникеевка;Опалиха Парк
Алексей Грипич;realtor;https://krasnogorsk.cian.ru/sale/flat/307823561/;Красногорск;sale;flat;11;17;1;41.0;5500000;;бульвар Южный;4;Павшино;
Садовое кольцо;developer;https://krasnogorsk.cian.ru/sale/flat/305205746/;Красногорск;sale;flat;19;25;1;36.21;11920658;;;к6;Павшино;М 5 ЖК
ID 74221514;realtor;https://krasnogorsk.cian.ru/sale/flat/305886771/;Красногорск;sale;flat;23;25;2;38.7;9800000;;Заводская ;18к3;Павшино;мкрн. Южный (Ул. Заводская корп. 31)
Самолет Плюс;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/308695069/;Красногорск;sale;flat;17;34;1;40.0;8500000;;;64.;Липовая Роща;Спутник ЖК
Садовое кольцо;developer;https://krasnogorsk.cian.ru/sale/flat/307229986/;Красногорск;sale;flat;5;25;2;67.5;17629853;;;к5;Павшино;М 5 ЖК
Сулейман Махаури;realtor;https://krasnogorsk.cian.ru/sale/flat/294741975/;Красногорск;sale;flat;16;24;2;82.0;9700000;;бульвар Космонавтов;1;Опалиха;Изумрудные холмы
CENTURY 21 Столичная недвижимость;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/308825751/;Красногорск;sale;flat;2;9;1;33.0;6400000;;Лесная ;3;Павшино;
Садовое кольцо;developer;https://krasnogorsk.cian.ru/sale/flat/308755851/;Красногорск;sale;flat;23;25;1;44.15;12909019;;;к6;Павшино;М 5 ЖК
ID 122083546;homeowner;https://krasnogorsk.cian.ru/sale/flat/307636806/;Красногорск;sale;flat;5;17;2;53.0;9990000;; Народного Ополчения;2Бк2;Митино;Брусчатый поселок
СмениКварти.Ру;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/308833060/;Красногорск;sale;flat;9;25;1;32.0;6500000;;бульвар Космонавтов;12;Опалиха;Изумрудные холмы
СИТИ21;developer;https://krasnogorsk.cian.ru/sale/flat/293383362/;Красногорск;sale;flat;3;6;2;63.8;16381467;;аллея Золотая;1;Опалиха;8 кленов
ID 49930636;homeowner;https://krasnogorsk.cian.ru/sale/flat/307820982/;Красногорск;sale;flat;4;26;2;59.9;14700000;;бульвар Ильинский;2А;Пенягино;Павшинская пойма мкрн. 4
VIVAVI ESTATE;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/307287934/;Красногорск;sale;flat;4;22;1;50.6;8700000;;бульвар Подмосковный;8;Пенягино;
Садовое кольцо;developer;https://krasnogorsk.cian.ru/sale/flat/308818807/;Красногорск;sale;flat;15;28;2;62.71;13923501;;;к8;Павшино;Тетрис ЖК
ID 883747;unknown;https://krasnogorsk.cian.ru/sale/flat/308858112/;Красногорск;sale;flat;5;10;1;48.8;8100000;;Строительная ;5;Павшино;
Сергей Борцов;realtor;https://krasnogorsk.cian.ru/sale/flat/297648476/;Красногорск;sale;flat;2;22;1;19.5;6000000;;бульвар Подмосковный;2;Пенягино;
СИТИ21;developer;https://krasnogorsk.cian.ru/sale/flat/308706703/;Красногорск;sale;flat;4;6;1;40.7;10235506;;аллея Золотая;1;Опалиха;8 кленов
Метражи group;real_estate_agent;https://krasnogorsk.cian.ru/sale/flat/305779737/;Красногорск;sale;flat;12;31;1;33.67;9950000;;;к13;Липовая Роща;Спутник ЖК
